Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Senin,6,40,676,153,5,1,835,0
Senin,6,50,866,141,9,1,1017,0
Senin,7,10,647,118,7,5,777,2
Senin,7,20,687,137,12,0,836,4
Senin,7,30,300,69,4,3,376,0
Senin,8,20,821,146,6,4,977,0
Senin,8,30,624,189,10,2,825,4
Senin,8,40,585,170,13,4,772,0
Senin,8,50,614,152,5,5,776,2
Senin,15,10,587,262,24,10,883,0
Senin,15,20,680,264,10,6,960,0
Senin,15,30,733,290,7,8,1038,0
Senin,15,40,869,285,5,4,1163,0
Senin,15,50,776,267,11,6,1060,0
Senin,15,60,723,283,13,5,1024,0
Senin,16,10,759,274,11,6,1050,0
Senin,16,20,719,276,13,6,1014,0
Senin,16,30,596,290,7,6,899,1
Senin,16,40,800,290,4,6,1100,0
Senin,16,50,799,250,3,3,1055,0
Senin,16,60,308,189,1,4,502,1
Senin,17,10,91,278,4,0,373,6
Senin,17,20,201,267,8,3,479,5
Senin,17,30,83,223,1,0,307,8
Senin,17,40,81,227,1,0,309,7
Senin,17,50,28,167,1,0,196,7
Senin,17,60,4,123,0,0,127,3
Senin,18,10,4,101,2,0,107,3
Senin,18,20,7,97,0,0,104,2
Senin,18,30,14,110,1,0,125,5
Senin,18,40,19,95,2,0,116,3
Senin,18,50,7,81,2,0,90,4
Senin,18,60,4,76,2,0,82,6
Senin,19,10,7,109,0,0,116,3
Senin,19,20,10,123,3,0,136,4
Senin,19,30,8,93,1,0,102,3
Senin,19,40,2,89,0,0,91,5
Senin,19,50,1,86,2,0,89,5
Senin,19,60,4,104,1,0,109,5
Selasa,7,10,675,115,5,1,796,0
Selasa,8,10,572,137,9,2,720,1
Selasa,8,20,400,143,12,0,555,1
Selasa,15,10,672,255,11,11,949,0
Selasa,15,20,613,269,9,5,896,0
Selasa,15,30,118,233,5,7,363,0
Selasa,15,40,165,265,9,6,445,0
Selasa,15,50,267,309,9,5,590,0
Selasa,15,60,399,251,3,10,663,0
Selasa,16,10,552,236,10,9,807,0
Selasa,16,20,279,288,4,5,576,0
Selasa,17,20,284,217,11,2,514,7
Selasa,17,30,382,276,4,4,666,10
Selasa,17,40,162,266,2,1,431,9
Selasa,17,50,78,273,2,0,353,9
Selasa,17,60,39,218,3,0,260,7
Selasa,18,10,30,110,0,0,140,4
Selasa,18,20,12,68,0,0,80,2
Selasa,18,30,18,75,2,0,95,3
Selasa,18,40,19,86,0,0,105,5
Selasa,18,50,12,96,1,0,109,5
Selasa,18,60,19,99,2,0,120,5
Selasa,19,10,17,63,1,0,81,4
Selasa,19,20,17,88,2,0,107,6
Selasa,19,30,19,102,0,0,121,6
Selasa,19,40,20,74,1,0,95,4
Selasa,19,50,21,107,3,0,131,5
Rabu,7,10,677,125,8,2,812,3
Rabu,7,20,690,156,10,4,860,2
Rabu,7,30,625,128,13,1,767,2
Rabu,7,40,647,134,9,1,791,2
Rabu,7,50,740,131,11,4,886,2
Rabu,7,60,677,156,7,2,842,1
Rabu,8,10,574,143,15,5,737,2
Rabu,8,20,653,136,6,2,797,2
Rabu,8,50,609,149,11,9,778,2
Rabu,8,60,626,171,6,6,809,2
Rabu,16,50,772,262,7,5,1046,2
Rabu,17,10,849,260,5,5,1119,0
Rabu,17,20,614,250,7,6,877,7
Kamis,6,10,344,76,4,1,425,0
Kamis,6,20,453,85,4,1,543,0
Kamis,6,30,514,114,6,1,635,0
Kamis,6,40,559,128,4,2,693,0
Kamis,6,50,741,126,5,1,873,1
Kamis,6,60,759,155,4,1,919,2
Kamis,7,10,678,131,6,0,815,2
Kamis,7,20,647,144,8,1,800,4
Kamis,7,30,636,147,8,2,793,3
Kamis,7,40,595,119,11,1,726,3
Kamis,7,50,588,133,7,3,731,3
Kamis,7,60,559,142,7,1,709,1
Kamis,8,50,535,145,13,1,694,2
Kamis,8,60,565,206,5,6,782,3
Kamis,15,10,616,242,16,5,879,0
Kamis,16,10,859,349,9,2,1219,0
Kamis,16,20,917,288,9,7,1221,0
Kamis,17,60,9,144,1,0,154,9
Kamis,18,10,18,128,0,0,146,6
Kamis,18,20,16,91,1,0,108,3
Kamis,18,30,36,92,0,0,128,3
Kamis,18,40,49,120,0,0,169,4
Kamis,18,50,67,113,2,0,182,4
Kamis,18,60,73,129,3,0,205,5
Kamis,19,10,63,123,2,0,188,4
Kamis,19,20,44,156,0,0,200,6
Kamis,19,30,46,150,2,0,198,6
Kamis,19,40,21,100,0,0,121,4
Kamis,19,50,29,97,0,0,126,5
Kamis,19,60,23,95,2,0,120,6
Jumat,6,10,307,79,4,1,391,0
Jumat,6,20,395,106,5,2,508,0
Jumat,6,30,461,105,6,2,574,0
Jumat,6,40,517,127,5,3,652,0
Jumat,6,50,451,116,6,2,575,0
Jumat,6,60,512,129,6,1,648,0
Jumat,7,10,486,134,9,1,630,2
Jumat,7,20,374,163,6,2,545,3
Jumat,7,30,290,166,7,0,463,3
Jumat,7,40,349,131,12,2,494,2
Jumat,7,50,349,151,3,1,504,2
Jumat,7,60,338,156,7,0,501,2
Jumat,8,10,368,171,7,1,547,2
Jumat,8,20,372,138,10,4,524,1
Jumat,8,30,463,160,10,1,634,3
Jumat,8,40,474,165,15,5,659,2
Jumat,8,50,472,174,9,5,660,2
Jumat,8,60,576,191,5,2,774,2
Jumat,15,10,560,280,23,7,870,0
Jumat,15,20,721,286,17,8,1032,0
Jumat,15,30,775,298,11,5,1089,0
Jumat,15,40,715,251,7,6,979,0
Jumat,15,50,711,290,12,7,1020,0
Jumat,15,60,476,307,11,3,797,0
Jumat,16,10,93,241,5,1,340,0
Jumat,16,20,23,232,2,0,257,0
Jumat,16,30,5,163,2,1,171,0
Jumat,16,40,0,37,0,0,37,0
Jumat,16,50,5,116,0,0,121,0
Jumat,16,60,11,164,1,0,176,0
Jumat,17,10,31,215,1,2,249,4
Jumat,17,20,43,213,4,2,262,8
Jumat,17,30,53,190,1,2,246,5
Jumat,17,40,22,205,4,0,231,5
Jumat,17,50,10,163,0,0,173,7
Jumat,17,60,4,131,1,0,136,5
Jumat,18,10,0,58,0,0,58,5
Jumat,18,20,5,100,0,0,105,6
Jumat,18,30,6,100,0,0,106,4
Jumat,18,40,22,110,1,0,133,4
Jumat,18,50,13,117,1,0,131,3
Jumat,18,60,18,101,2,0,121,8
Jumat,19,10,22,158,0,0,180,9
Jumat,19,20,31,123,0,0,154,6
Jumat,19,30,37,137,1,0,175,7
Jumat,19,40,27,147,1,0,175,9
Jumat,19,50,41,152,2,0,195,9
Jumat,19,60,30,133,1,0,164,9
Sabtu,6,10,243,79,4,1,327,0
Sabtu,6,20,288,57,3,0,348,0
Sabtu,6,30,393,85,2,2,482,0
Sabtu,6,40,336,81,3,0,420,0
Sabtu,6,50,365,93,6,0,464,0
Sabtu,6,60,442,110,4,0,556,0
Sabtu,7,10,496,68,6,0,570,0
Sabtu,7,20,349,109,5,0,463,1
Sabtu,7,30,398,109,5,0,512,0
Sabtu,7,40,338,116,9,0,463,1
Sabtu,7,50,291,113,14,1,419,0
Sabtu,7,60,393,105,11,2,511,1
